               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.032678,           0.0087155,          0.00063131,             0.46865,             0.41589,             0.39901,             0.20412,            0.053858,            0.012047,            0.011101,            0.003928,            0.003928,            0.003928
                  94,            0.031597,           0.0090697,          0.00054574,             0.44427,              0.4561,             0.41674,             0.20367,            0.054056,            0.011341,            0.011442,            0.003862,            0.003862,            0.003862
                  95,            0.031746,           0.0084213,          0.00053239,             0.60866,             0.38301,             0.42325,             0.20739,            0.054082,            0.011909,            0.011077,            0.003796,            0.003796,            0.003796
                  96,            0.031625,           0.0091609,          0.00066294,             0.55641,             0.43557,             0.43098,             0.20472,            0.052947,            0.011413,            0.012227,             0.00373,             0.00373,             0.00373
                  97,            0.030576,           0.0086594,           0.0005175,             0.47744,               0.461,             0.42126,             0.19601,            0.053748,            0.011728,            0.012796,            0.003664,            0.003664,            0.003664
                  98,            0.031409,           0.0083783,          0.00049816,             0.45568,             0.40412,             0.37904,             0.18443,            0.054435,            0.012544,            0.012051,            0.003598,            0.003598,            0.003598
                  99,            0.031688,           0.0087921,          0.00048257,             0.52269,              0.4077,             0.39394,             0.18247,            0.055408,            0.012877,            0.011143,            0.003532,            0.003532,            0.003532
                 100,            0.031767,           0.0090136,           0.0004802,             0.45313,              0.4175,             0.39897,             0.19635,            0.053812,            0.012098,            0.010793,            0.003466,            0.003466,            0.003466
                 101,            0.030208,           0.0083884,          0.00045851,              0.5314,             0.40973,             0.40097,              0.1974,            0.055271,            0.012544,           0.0099181,              0.0034,              0.0034,              0.0034
                 102,             0.03001,           0.0082194,          0.00061542,              0.5687,             0.37054,             0.39096,             0.19753,             0.05404,            0.012349,             0.01135,            0.003334,            0.003334,            0.003334
                 103,            0.030123,           0.0082927,          0.00074812,              0.5606,             0.42955,             0.40546,             0.19507,            0.054414,            0.012142,             0.01113,            0.003268,            0.003268,            0.003268
                 104,            0.030328,           0.0083641,          0.00056337,             0.59792,             0.35573,             0.36886,             0.18274,            0.054575,            0.012728,            0.011657,            0.003202,            0.003202,            0.003202
                 105,            0.030841,           0.0081506,          0.00064725,              0.6292,             0.37625,             0.41408,              0.2038,            0.054645,            0.012396,            0.010671,            0.003136,            0.003136,            0.003136
                 106,            0.030944,           0.0082657,          0.00057698,             0.52354,             0.41372,             0.42415,             0.21958,            0.054288,            0.012366,            0.010459,             0.00307,             0.00307,             0.00307
                 107,            0.028881,           0.0077373,          0.00055198,             0.57154,               0.386,             0.40223,             0.20509,            0.054142,            0.012759,            0.011438,            0.003004,            0.003004,            0.003004
                 108,            0.029764,           0.0078576,          0.00045853,             0.51994,             0.39677,              0.3966,             0.20264,            0.053621,            0.013339,            0.011291,            0.002938,            0.002938,            0.002938
                 109,            0.028766,           0.0080919,          0.00044528,             0.52447,              0.4077,             0.40927,             0.20805,            0.053345,            0.013044,            0.011149,            0.002872,            0.002872,            0.002872
                 110,            0.029203,           0.0081443,          0.00044699,             0.57898,             0.39922,             0.38825,             0.20388,            0.053968,            0.012635,            0.012182,            0.002806,            0.002806,            0.002806
                 111,            0.028751,           0.0079318,          0.00047391,             0.65112,             0.37625,             0.41363,             0.21124,            0.054756,            0.013207,            0.011133,             0.00274,             0.00274,             0.00274
                 112,            0.029338,           0.0079754,            0.000429,             0.55764,             0.38227,             0.40673,             0.20613,            0.054875,            0.013367,            0.011691,            0.002674,            0.002674,            0.002674
                 113,            0.028576,           0.0078873,          0.00049899,             0.54356,             0.38128,              0.4039,             0.20698,            0.054827,            0.013652,            0.010181,            0.002608,            0.002608,            0.002608
                 114,            0.028941,           0.0083046,          0.00048163,              0.4747,             0.42453,              0.3874,             0.20275,            0.053075,            0.013091,            0.010635,            0.002542,            0.002542,            0.002542
                 115,            0.028415,           0.0079833,          0.00041698,             0.50621,             0.39922,             0.40064,             0.20582,            0.053214,            0.013174,            0.010477,            0.002476,            0.002476,            0.002476
                 116,            0.027902,           0.0077324,          0.00039105,             0.60806,              0.3642,             0.37678,             0.18878,            0.054118,            0.013449,            0.011514,             0.00241,             0.00241,             0.00241
                 117,            0.028294,           0.0083152,          0.00044881,             0.59577,             0.36547,              0.3643,             0.17394,            0.053928,            0.013628,            0.010782,            0.002344,            0.002344,            0.002344
                 118,             0.02865,           0.0079912,          0.00045236,              0.4911,              0.3642,             0.35236,             0.17838,            0.054226,            0.013638,            0.010152,            0.002278,            0.002278,            0.002278
                 119,             0.02801,           0.0079163,           0.0003634,              0.5443,              0.3554,             0.37809,             0.19064,            0.054246,            0.013952,           0.0092942,            0.002212,            0.002212,            0.002212
